Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked_0,Embarked_1,Embarked_2,FamilySize,Survived
97,3.216729959671105,0.02654811242052499,0,0,0,1,1.0,0.0,0.0,0,0
716,-0.8141808578020261,-0.4955573707130805,0,0,0,3,0.0,0.0,1.0,0,0
1147,-0.11652321631629182,-0.49749079396995755,0,0,0,3,0.0,0.0,1.0,0,0
1090,-0.5041107949194775,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
1053,-1.744391046449672,-0.34869840696720983,0,1,1,3,1.0,0.0,0.0,2,0
19,0.1160293308456196,-0.29544806362630077,1,1,0,3,0.0,0.0,1.0,1,0
1193,-0.11652321631629182,-0.352565253480964,0,0,0,2,1.0,0.0,0.0,0,0
1231,-0.11652321631629182,-0.5036932157780193,0,0,0,3,1.0,0.0,0.0,0,0
840,-0.11652321631629182,-0.06923754257168029,0,0,0,1,1.0,0.0,0.0,0,1
534,-0.11652321631629182,-0.2111836778218262,1,0,2,3,1.0,0.0,0.0,2,1
1167,-0.736663342081389,-0.14077420307613292,1,1,0,2,0.0,0.0,1.0,1,0
952,-0.9692158892433004,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
107,-0.6591458263607518,-0.4955573707130805,1,0,0,3,0.0,0.0,1.0,0,1
314,-0.11652321631629182,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
1279,2.131484739582185,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
363,1.2012745509345397,-0.3640033854686489,1,0,1,3,1.0,0.0,0.0,1,0
667,-0.34907576347820324,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
518,-0.11652321631629182,-0.17654253332835926,0,0,0,3,0.0,1.0,0.0,0,0
923,-0.4265932791988404,-0.0344359239478925,0,2,0,2,0.0,0.0,1.0,2,0
720,0.2710643622868939,-0.4931405916419841,0,0,0,3,0.0,0.0,1.0,0,0
835,-0.8916983735226632,-0.4829901195433793,0,0,0,3,0.0,0.0,1.0,0,0
792,-1.0467334049639376,-0.14077420307613292,0,0,0,2,0.0,0.0,1.0,0,0
912,1.9764497081409111,0.5049891647208179,0,1,0,1,1.0,0.0,0.0,1,0
12,2.2090022553028223,-0.13014037516330884,1,0,0,1,0.0,0.0,1.0,0,1
1245,1.5113446138170883,0.6132608671059354,0,1,2,2,0.0,0.0,1.0,3,0
1240,-0.4265932791988404,-0.3824521101857702,0,0,0,2,0.0,0.0,1.0,0,0
1188,-2.2094961407734948,0.16043767295926398,1,1,2,2,1.0,0.0,0.0,3,0
890,-0.2715582477575661,-0.06343727280104898,0,0,0,1,1.0,0.0,0.0,0,1
27,-0.11652321631629182,-0.5037744195548081,0,0,0,3,1.0,0.0,0.0,0,0
121,-0.6591458263607518,0.7776018439404888,0,2,0,2,0.0,0.0,1.0,2,0
549,0.2710643622868939,-0.24662912639015405,0,1,1,3,0.0,0.0,1.0,2,0
235,-0.4265932791988404,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
522,-0.5816283106401147,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
1184,-0.11652321631629182,-0.5036932157780193,0,0,0,3,1.0,0.0,0.0,0,0
1012,-1.3568034678464862,-0.3389500869060355,1,0,0,2,0.0,0.0,1.0,0,0
599,-0.11652321631629182,-0.5037744195548081,0,0,0,3,1.0,0.0,0.0,0,0
548,-0.11652321631629182,-0.3754434508795907,0,0,0,2,1.0,0.0,0.0,0,1
827,-0.11652321631629182,0.4488386864945933,0,0,0,3,0.0,0.0,1.0,0,0
1113,-0.6591458263607518,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
387,-2.2094961407734948,0.2633112576111806,0,5,2,3,0.0,0.0,1.0,7,0
342,-0.4265932791988404,4.44143891572259,1,3,2,1,0.0,0.0,1.0,5,1
1226,-0.19404073203692898,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
224,-0.11652321631629182,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
350,0.9687220037726282,-0.4759814602371998,0,0,0,3,0.0,0.0,1.0,0,0
95,2.2865197710234595,-0.5032910637405889,0,0,0,3,0.0,0.0,1.0,0,0
349,-2.0544611093322205,-0.33604995202071986,0,1,1,3,0.0,0.0,1.0,2,1
1225,-0.8141808578020261,-0.33911056103635623,1,1,1,3,1.0,0.0,0.0,2,0
1162,1.2787920666551769,0.8112762768055171,0,0,0,1,1.0,0.0,0.0,0,0
84,-0.11652321631629182,0.26717810412493487,0,0,0,1,0.0,0.0,1.0,0,0
1161,-0.9692158892433004,-0.4759814602371998,0,0,0,3,0.0,0.0,1.0,0,0
636,-0.11652321631629182,-0.3921192264701557,1,0,0,2,0.0,0.0,1.0,0,1
134,-0.03900570059565468,-0.14077420307613292,1,1,0,2,0.0,0.0,1.0,1,1
643,-2.1319786250528576,-0.10403916119546806,1,3,2,3,0.0,0.0,1.0,5,0
1091,-0.11652321631629182,-0.48661528815002386,1,0,0,3,0.0,0.0,1.0,0,0
524,1.1237570352139026,0.47751908708710805,1,0,1,1,1.0,0.0,0.0,1,1
1210,-0.19404073203692898,-0.4916093204225374,0,0,0,3,0.0,0.0,1.0,0,0
90,-0.4265932791988404,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
1301,-2.0544611093322205,-0.3771351962293582,1,1,1,3,0.0,0.0,1.0,2,0
70,-0.2715582477575661,-0.4759814602371998,0,2,0,3,0.0,0.0,1.0,2,0
503,-0.11652321631629182,-0.49595952275051086,1,0,0,3,0.0,1.0,0.0,0,0
402,-0.2715582477575661,-0.48782367768557205,0,0,0,3,0.0,0.0,1.0,0,0
140,-0.4265932791988404,0.8878069695824834,0,0,0,1,1.0,0.0,0.0,0,0
1042,-0.5041107949194775,0.9643376623594495,1,0,1,1,1.0,0.0,0.0,1,0
257,-0.11652321631629182,0.8878069695824834,1,0,0,1,1.0,0.0,0.0,0,1
526,0.8524457301916725,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
206,-2.1319786250528576,-0.44117984161341206,1,0,1,3,0.0,0.0,1.0,1,0
8,-2.1319786250528576,-0.23599529847733,0,3,1,3,0.0,0.0,1.0,4,0
901,-0.6591458263607518,-0.17654253332835926,0,2,0,3,0.0,0.0,1.0,2,0
502,-0.6591458263607518,-0.49362394745620336,1,0,0,3,0.0,1.0,0.0,0,0
812,0.7361694566107168,-0.17654253332835926,0,0,0,3,0.0,0.0,1.0,0,0
704,-0.34907576347820324,-0.49378442158652414,0,0,0,3,0.0,1.0,0.0,0,0
799,0.03851181512498246,-0.5036932157780193,0,0,0,3,1.0,0.0,0.0,0,0
477,0.34858187800753104,-0.23744536591998783,0,1,0,2,0.0,0.0,1.0,1,0
279,-1.744391046449672,-0.08035472629872359,0,4,1,3,0.0,1.0,0.0,5,0
939,-0.11652321631629182,-0.49362394745620336,0,0,0,3,0.0,1.0,0.0,0,0
1262,-0.6591458263607518,-0.42112057532331215,0,1,0,2,0.0,0.0,1.0,1,0
152,-0.5816283106401147,0.6441956392159689,1,1,0,1,0.0,0.0,1.0,1,1
723,0.34858187800753104,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
1239,0.6586519408900796,-0.5036932157780193,1,0,0,3,1.0,0.0,0.0,0,0
409,-0.6591458263607518,-0.4931405916419841,0,0,0,3,0.0,0.0,1.0,0,0
233,2.2865197710234595,-0.3824521101857702,0,0,0,2,0.0,0.0,1.0,0,0
371,-0.34907576347820324,0.42845847194385167,0,1,0,1,1.0,0.0,0.0,1,1
743,-0.6591458263607518,4.429355020367108,1,2,2,1,1.0,0.0,0.0,4,1
354,-0.34907576347820324,-0.29931491014005496,0,1,0,3,0.0,0.0,1.0,1,0
929,-0.6591458263607518,-0.4759814602371998,1,0,0,3,0.0,0.0,1.0,0,0
555,-0.5816283106401147,-0.4931405916419841,1,0,0,3,0.0,0.0,1.0,0,1
388,0.5036169094488053,-0.3921192264701557,1,0,0,2,0.0,0.0,1.0,0,1
1219,1.2787920666551769,0.8878069695824834,0,0,0,1,1.0,0.0,0.0,0,0
505,-1.0467334049639376,1.0289468673345115,1,0,0,1,0.0,0.0,1.0,0,1
1230,-0.34907576347820324,-0.0344359239478925,0,0,0,2,0.0,0.0,1.0,0,0
689,-0.8916983735226632,-0.49273843960455366,0,0,0,3,0.0,0.0,1.0,0,0
330,-1.0467334049639376,0.47751908708710805,1,0,1,1,1.0,0.0,0.0,1,1
476,-0.11652321631629182,0.36191584371191265,0,0,0,1,0.0,0.0,1.0,0,0
826,-0.11652321631629182,-0.5090913335112202,0,0,0,3,0.0,1.0,0.0,0,0
137,-0.8141808578020261,-0.13529681498940008,1,0,2,1,0.0,0.0,1.0,2,1
842,-1.0467334049639376,-0.44045480789208313,0,0,0,2,0.0,0.0,1.0,0,0
1200,1.9764497081409111,1.1642864953159084,0,1,1,1,0.0,0.0,1.0,2,0
888,-0.8141808578020261,-0.06343727280104898,1,0,0,1,0.0,0.0,1.0,0,1
1205,0.5811344251694425,-0.49362394745620336,1,0,0,3,0.0,1.0,0.0,0,0
734,-0.5041107949194775,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
9,-0.19404073203692898,-0.4282104384062805,1,0,2,3,0.0,0.0,1.0,2,1
1092,-0.11652321631629182,-0.3437836450482282,1,0,0,3,0.0,1.0,0.0,0,0
1054,-0.2715582477575661,-0.3824521101857702,1,0,0,2,0.0,0.0,1.0,0,0
357,-0.5816283106401147,0.4199185414182256,1,0,1,1,0.0,0.0,1.0,1,1
601,-0.4265932791988404,-0.12143997050736192,1,2,1,2,0.0,0.0,1.0,3,1
1105,2.3640372867440966,-0.14077420307613292,1,1,0,2,0.0,0.0,1.0,1,0
186,-0.11652321631629182,0.3232473785743707,0,0,0,1,0.0,0.0,1.0,0,0
1253,-0.4265932791988404,0.07198355895713669,1,1,1,2,1.0,0.0,0.0,2,0
565,-0.11652321631629182,-0.48782367768557205,1,0,0,3,0.0,0.0,1.0,0,0
1186,0.5036169094488053,-0.4597890404608541,0,0,0,3,0.0,0.0,1.0,0,0
150,0.9687220037726282,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,0
4,0.4260993937281682,0.38318349953756076,1,1,0,1,0.0,0.0,1.0,1,1
312,-0.8916983735226632,4.429355020367108,1,2,2,1,1.0,0.0,0.0,4,1
795,-0.34907576347820324,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
22,0.34858187800753104,-0.3921192264701557,0,0,0,2,0.0,0.0,1.0,0,1
629,-0.2715582477575661,-0.4908050163476765,0,0,0,3,0.0,0.0,1.0,0,0
1017,-0.9692158892433004,-0.3321831055069656,1,0,1,3,0.0,0.0,1.0,1,0
1212,-0.2715582477575661,-0.4931405916419841,0,0,0,3,0.0,0.0,1.0,0,0
1004,0.5036169094488053,-0.03097122947156871,1,0,0,1,1.0,0.0,0.0,0,0
481,-1.5893560150083976,0.2633112576111806,0,5,2,3,0.0,0.0,1.0,7,0
